MMM,MMM
ABT,ABT
ABBV,ABBV.N
ACN,ACN
ATVI,ATVI.O
AYI,AYI
ADBE,ADBE.O
AAP,AAP
AES,AES
AET,AET
AMG,AMG
AFL,AFL
A,A
APD,APD
AKAM,AKAM.O
ALK,ALK
ALB,ALB
AA,AA
ALXN,ALXN.O
ALLE,ALLE.N
AGN,AGN
ADS,ADS
LNT,LNT
ALL,ALL
GOOGL,GOOGL.O
GOOG,GOOG.O
MO,MO
AMZN,AMZN.O
AEE,AEE
AAL,AAL.O
AEP,AEP
AXP,AXP
AIG,AIG
AMT,AMT
AWK,AWK
AMP,AMP
ABC,ABC
AME,AME
AMGN,AMGN.O
APH,APH
APC,APC
ADI,ADI.O
ANTM,ANTM.N
AON,AON
APA,APA
AIV,AIV
AAPL,AAPL.O
AMAT,AMAT.O
ADM,ADM
AJG,AJG
AIZ,AIZ
T,T
ADSK,ADSK.O
ADP,ADP.O
AN,AN
AZO,AZO
AVGO,AVGO.O
AVB,AVB
AVY,AVY
BHI,BHI.PS
BLL,BLL
BAC,BAC
BCR,BCR
BAX,BAX
BBT,BBT
BDX,BDX
BBBY,BBBY.O
BRK-B,BRKa.N
BBY,BBY
BIIB,BIIB.O
BLK,BLK
HRB,HRB
BA,BA
BWA,BWA
BXP,BXP
BSX,BSX
BMY,BMY
BF-B,BFb.N
CHRW,CHRW.O
CA,CA.O
COG,COG
CPB,CPB
COF,COF
CAH,CAH
KMX,KMX
CCL,CCL
CAT,CAT
CBG,CBG
CBS,CBS
CELG,CELG.O
CNC,CNC
CNP,CNP
CTL,CTL
CERN,CERN.O
CF,CF
SCHW,SCHW.N
CHK,CHK
CVX,CVX
CMG,CMG
CB,CB
CHD,CHD
CI,CI
XEC,XEC
CINF,CINF.O
CTAS,CTAS.O
CSCO,CSCO.O
C,C
CFG,CFG
CTXS,CTXS.O
CME,CME.O
CMS,CMS
COH,COH
CTSH,CTSH.O
CL,CL
CMCSA,CMCSA.O
CMA,CMA
CAG,CAG
CXO,CXO
COP,COP
ED,ED
STZ,STZ
GLW,GLW
COST,COST.O
CCI,CCI
CSRA,CSRA.N
CSX,CSX.O
CMI,CMI
CVS,CVS
DHI,DHI
DHR,DHR
DRI,DRI
DVA,DVA
DE,DE
DLPH,DLPH.N
DAL,DAL
XRAY,XRAY.O
DVN,DVN
DO,DO
DLR,DLR
DFS,DFS
DISCA,DISCA.O
DISCK,DISCK.O
DG,DG
DLTR,DLTR.O
D,D
DOV,DOV
DOW,DOW
DPS,DPS
DTE,DTE
DD,DD
DUK,DUK
DNB,DNB
ETFC,ETFC.O
EMN,EMN
ETN,ETN
EBAY,EBAY.O
ECL,ECL
EIX,EIX
EW,EW
EA,EA.O
EMC,EMC.BK
EMR,EMR
ENDP,ENDP.O
ETR,ETR
EOG,EOG
EQT,EQT
EFX,EFX
EQIX,EQIX.O
EQR,EQR
ESS,ESS
EL,EL
ES,ES
EXC,EXC
EXPE,EXPE.O
EXPD,EXPD.O
ESRX,ESRX.O
EXR,EXR
XOM,XOM
FFIV,FFIV.O
FB,FB.O
FAST,FAST.O
FRT,FRT
FDX,FDX
FIS,FIS
FITB,FITB.O
FSLR,FSLR.O
FE,FE
FISV,FISV.O
FLIR,FLIR.O
FLS,FLS
FLR,FLR
FMC,FMC
FTI,FTI
FL,FL
F,F
FTV,FTV
FBHS,FBHS.N
BEN,BEN
FCX,FCX
FTR,FTR.O
GPS,GPS
GRMN,GRMN.O
GD,GD
GE,GE
GGP,GGP
GIS,GIS
GM,GM
GPC,GPC
GILD,GILD.O
GPN,GPN
GS,GS
GT,GT.O
GWW,GWW
HAL,HAL
HBI,HBI
HOG,HOG
HAR,HARJ.J
HRS,HRS
HIG,HIG
HAS,HAS.O
HCA,HCA
HCP,HCP
HP,HP
HSIC,HSIC.O
HES,HES
HPE,HPE
HOLX,HOLX.O
HD,HD
HON,HON
HRL,HRL
HST,HST
HPQ,HPQ
HUM,HUM
HBAN,HBAN.O
ITW,ITW
ILMN,ILMN.O
IR,IR
INTC,INTC.O
ICE,ICE
IBM,IBM
IP,IP
IPG,IPG
IFF,IFF
INTU,INTU.O
ISRG,ISRG.O
IVZ,IVZ
IRM,IRM
JBHT,JBHT.O
JEC,JEC
JNJ,JNJ
JCI,JCI
JPM,JPM
JNPR,JNPR.N
KSU,KSU
K,K
KEY,KEY
KMB,KMB
KIM,KIM
KMI,KMI
KLAC,KLAC.O
KSS,KSS
KHC,KHC.O
KR,KR
LB,LB
LLL,LLL
LH,LH
LRCX,LRCX.O
LM,LM
LEG,LEG
LEN,LEN
LUK,LUK
LVLT,LVLT.N
LLY,LLY
LNC,LNC
LLTC,LLTC.OQ
LKQ,LKQ.O
LMT,LMT
L,L
LOW,LOW
LYB,LYB
MTB,MTB
MAC,MAC
M,M
MNK,MNK
MRO,MRO
MPC,MPC
MAR,MAR.O
MMC,MMC
MLM,MLM
MAS,MAS
MA,MA
MAT,MAT.O
MKC,MKC
MCD,MCD
MCK,MCK
MJN,MJN.V
MDT,MDT
MRK,MRK
MET,MET
KORS,KORS.N
MCHP,MCHP.O
MU,MU.O
MSFT,MSFT.O
MHK,MHK
TAP,TAP
MDLZ,MDLZ.O
MON,MON
MNST,MNST.O
MCO,MCO
MS,MS
MSI,MSI
MUR,MUR
MYL,MYL.A
NDAQ,NDAQ.O
NOV,NOV
NAVI,NAVI.O
NTAP,NTAP.O
NFLX,NFLX.O
NWL,NWL
NFX,NFX
NEM,NEM
NWSA,NWSA.DF
NWS,NWS.O
NEE,NEE
NLSN,NLSN.N
NKE,NKE
NI,NI
NBL,NBL
JWN,JWN
NSC,NSC
NTRS,NTRS.O
NOC,NOC
NRG,NRG
NUE,NUE
NVDA,NVDA.O
ORLY,ORLY.O
OXY,OXY
OMC,OMC
OKE,OKE
ORCL,ORCL.N
OI,OI
PCAR,PCAR.O
PH,PH
PDCO,PDCO.O
PAYX,PAYX.O
PYPL,PYPL.O
PNR,PNR
PBCT,PBCT.O
PEP,PEP
PKI,PKI
PRGO,PRGO.N
PFE,PFE
PCG,PCG
PM,PM
PSX,PSX
PNW,PNW
PXD,PXD
PBI,PBI
PNC,PNC
RL,RL
PPG,PPG
PPL,PPL
PX,PX
PCLN,PCLN.O
PFG,PFG
PG,PG
PGR,PGR
PLD,PLD
PRU,PRU
PEG,PEG
PSA,PSA
PHM,PHM
PVH,PVH
QRVO,QRVO.O
QCOM,QCOM.O
PWR,PWR
DGX,DGX
RRC,RRC
RTN,RTN
O,O
RHT,RHT
REGN,REGN.O
RF,RF
RSG,RSG
RHI,RHI
ROK,ROK
COL,COL
ROP,ROP
ROST,ROST.O
RCL,RCL
R,R
SPGI,SPGI.N
CRM,CRM
SCG,SCG
SLB,SLB
SNI,SNI.O
STX,STX.O
SEE,SEE
SRE,SRE
SHW,SHW
SIG,SIG
SPG,SPG
SWKS,SWKS.O
SLG,SLG
SJM,SJM
SNA,SNA
SO,SO
LUV,LUV
SWN,SWN
SE,SEm.BK
STJ,SJP.L
SWK,SWK
SPLS,SPLS.O
SBUX,SBUX.O
HOT,HENT.L
STT,STT
SRCL,SRCL.O
SYK,SYK
STI,STI
SYMC,SYMC.O
SYF,SYF
SYY,SYY
TROW,TROW.O
TGT,TGT
TEL,TEL
TGNA,TGNA.N
TDC,TDC
TSO,TSPOR.F
TXN,TXN.O
TXT,TXT
BK,BK
CLX,CLX
KO,KO
HSY,HSY
MOS,MOS
TRV,TRV
DIS,DIS
TMO,TMO
TIF,TIF
TWX,TWX
TJX,TJX
TMK,TMK
TSS,TSS
TSCO,TSCO.O
TDG,TDG
RIG,RIG
TRIP,TRIP.O
FOXA,FOXA.O
FOX,FOX.O
TSN,TSN
USB,USB
UDR,UDR
ULTA,ULTA.O
UA,UA
UNP,UNP
UAL,UAL
UNH,UNH
UPS,UPS
URI,URI
UTX,UTX
UHS,UHS
UNM,UNM
URBN,URBN.O
VFC,VFC
VLO,VLO
VAR,VAR
VTR,VTR
VRSN,VRSN.O
VRSK,VRSK.O
VZ,VZ
VRTX,VRTX.O
VIAB,VIAB.O
V,V
VNO,VNO
VMC,VMC
WMT,WMT
WBA,WBA.O
WM,WM
WAT,WAT
WFC,WFC
HCN,HCN
WDC,WDC.O
WU,WU
WRK,WRK
WY,WY
WHR,WHR
WFM,WFM.O
WMB,WMB
WLTW,WLTW.O
WEC,WEC
WYN,WYN
WYNN,WYNN.O
XEL,XEL
XRX,XRX
XLNX,XLNX.O
XL,XL
XYL,XYL
YUM,YUM
ZBH,ZBH
ZION,ZION.O
ZTS,ZTS
